usdaId,name,category,mealType,dietType,calories,protein,carbs,fat,fiber,sugar,sodium,servingSize,servingUnit,vegetarian,vegan,glutenFree,dairyFree,nutFree,soyFree
170810,"Beef, chuck for stew, separable lean and fat, choice, raw",PROTEIN,DINNER,NON_VEG,545.0,21.64,0.12,4.81,0.0,0.0,79.0,113.0,oz,False,False,True,True,True,True
171204,"Beef, chuck for stew, separable lean and fat, select, cooked, braised",PROTEIN,DINNER,NON_VEG,779.0,32.29,0.0,6.34,0.0,0.0,68.0,85.0,oz,False,False,True,True,True,True
170809,"Beef, chuck for stew, separable lean and fat, select, raw",PROTEIN,DINNER,NON_VEG,520.0,21.9,0.21,3.99,0.0,0.0,81.0,113.0,oz,False,False,True,True,True,True
170213,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",PROTEIN,DINNER,NON_VEG,1241.0,28.94,0.0,19.17,0.0,0.0,47.0,1166.0,roast (yield from 1601 g raw meat),False,False,True,True,True,True
170614,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",PROTEIN,DINNER,NON_VEG,1185.0,29.23,0.0,17.56,0.0,0.0,48.0,1236.0,roast (yield from 1675 g raw meat),False,False,True,True,True,True
169491,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",PROTEIN,DINNER,NON_VEG,1022.0,19.23,0.0,17.98,0.0,0.0,62.0,113.0,oz,False,False,True,True,True,True
168669,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",PROTEIN,DINNER,NON_VEG,1292.0,30.2,0.0,19.93,0.0,0.0,49.0,85.0,oz,False,False,True,True,True,True
168668,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",PROTEIN,DINNER,NON_VEG,1043.0,19.14,0.0,18.57,0.0,0.0,63.0,113.0,oz,False,False,True,True,True,True
169492,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",PROTEIN,DINNER,NON_VEG,1235.0,30.05,0.0,18.5,0.0,0.0,50.0,85.0,oz,False,False,True,True,True,True
168670,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",PROTEIN,DINNER,NON_VEG,1001.0,19.33,0.0,17.39,0.0,0.0,62.0,113.0,oz,False,False,True,True,True,True
170615,"Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, choice, cooked, braised",PROTEIN,DINNER,NON_VEG,886.0,33.36,0.0,7.67,0.0,0.0,54.0,1095.0,roast (yield from 1528g raw meat),False,False,True,True,True,True
170616,"Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, select, cooked, braised",PROTEIN,DINNER,NON_VEG,815.0,33.37,0.0,5.8,0.0,0.0,55.0,1236.0,roast (yield from 1675 g raw meat),False,False,True,True,True,True
174051,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",PROTEIN,DINNER,NON_VEG,553.0,22.11,0.0,4.19,0.0,0.0,74.0,113.0,oz,False,False,True,True,True,True
171817,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised",PROTEIN,DINNER,NON_VEG,936.0,34.72,0.0,8.37,0.0,0.0,56.0,453.6,lb,False,False,True,True,True,True
174056,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",PROTEIN,DINNER,NON_VEG,583.0,21.96,0.0,5.05,0.0,0.0,74.0,453.6,lb,False,False,True,True,True,True
174767,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, cooked, braised",PROTEIN,DINNER,NON_VEG,858.0,34.6,0.0,6.35,0.0,0.0,57.0,85.0,oz,False,False,True,True,True,True
174765,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw",PROTEIN,DINNER,NON_VEG,523.0,22.26,0.0,3.32,0.0,0.0,77.0,113.0,oz,False,False,True,True,True,True
170617,"Beef, chuck, blade roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",PROTEIN,DINNER,NON_VEG,1397.0,27.18,0.0,24.14,0.0,0.0,65.0,85.0,oz,False,False,True,True,True,True
169494,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",PROTEIN,DINNER,NON_VEG,1427.0,26.78,0.0,25.12,0.0,0.0,65.0,247.0,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",False,False,True,True,True,True
169493,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",PROTEIN,DINNER,NON_VEG,1038.0,17.16,0.0,19.41,0.0,0.0,68.0,453.6,lb,False,False,True,True,True,True
168671,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",PROTEIN,DINNER,NON_VEG,1502.0,26.37,0.0,27.26,0.0,0.0,64.0,247.0,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",False,False,True,True,True,True
169495,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",PROTEIN,DINNER,NON_VEG,1123.0,16.98,0.97,21.31,0.0,0.0,67.0,453.6,lb,False,False,True,True,True,True
168673,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",PROTEIN,DINNER,NON_VEG,1331.0,27.33,0.0,22.35,0.0,0.0,66.0,247.0,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",False,False,True,True,True,True
168672,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",PROTEIN,DINNER,NON_VEG,962.0,17.37,0.0,17.33,0.0,0.0,69.0,113.0,oz,False,False,True,True,True,True
170215,"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",PROTEIN,DINNER,NON_VEG,1059.0,31.06,0.0,13.3,0.0,0.0,71.0,85.0,oz,False,False,True,True,True,True
174027,"Beef, chuck, clod roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",PROTEIN,DINNER,NON_VEG,868.0,25.7,0.0,10.84,0.0,0.0,71.0,453.6,lb,False,False,True,True,True,True
174023,"Beef, chuck, clod roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",PROTEIN,DINNER,NON_VEG,903.0,24.61,0.0,12.26,0.0,0.0,71.0,453.6,lb,False,False,True,True,True,True
171784,"Beef, chuck, clod roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",PROTEIN,DINNER,NON_VEG,818.0,27.3,0.0,8.76,0.0,0.0,72.0,85.0,oz,False,False,True,True,True,True
174019,"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",PROTEIN,DINNER,NON_VEG,718.0,26.82,0.0,6.34,0.0,0.0,74.0,453.6,lb,False,False,True,True,True,True
169553,"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",PROTEIN,DINNER,NON_VEG,716.0,25.95,0.0,6.69,0.0,0.0,74.0,85.0,oz,False,False,True,True,True,True
168730,"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",PROTEIN,DINNER,NON_VEG,721.0,28.09,0.0,5.82,0.0,0.0,74.0,85.0,oz,False,False,True,True,True,True
